Benchmark data: Num items = 100, Cap = 1000, Profit = 2671
NumStarts = 100, NumAttempts = 100000
Pass 0 started
Initial state profit = 845
   2021	 1708
   2290	 1759
   2318	 1797
   2767	 1827
   3671	 1839
   3692	 1936
   3773	 1941
   4706	 1990
   5258	 2009
   5426	 2012
   5621	 2031
   6484	 2063
   6610	 2161
   6766	 2166
   9474	 2195
  10035	 2215
  11038	 2219
  11795	 2227
  12014	 2278
  15129	 2337
  23168	 2341
  28583	 2411
  29686	 2422
  31670	 2424
  49918	 2443
  55996	 2490
  62180	 2521
  68787	 2538
  69551	 2545
  71821	 2547
  77675	 2584
 132464	 2587
 137532	 2597
 157094	 2600
 165226	 2630
 394734	 2632
 527932	 2663
After 827932 iterations the best profit is = 2663
Pass 8 finished in 3 seconds
The correlation with benchmark = 8
===================================
Pass 9 started
Initial state profit = 772
      8	  832
     22	  834
     24	  856
    169	 1073
    188	 1249
    192	 1337
    218	 1393
    255	 1434
    324	 1581
    760	 1600
    900	 1642
    960	 1647
   1498	 1718
   1508	 1737
   1591	 1830
   2088	 1857
   2726	 1867
   3251	 1901
   3316	 1931
   3590	 1969
   3620	 2019
   3702	 2062
   8779	 2078
  11648	 2090
  12706	 2113
  13166	 2118
  14675	 2123
  15633	 2133
  17582	 2143
  18493	 2200
  18779	 2214
  21179	 2312
  24391	 2327
  24470	 2358
  25880	 2393
  27231	 2415
  27316	 2417
  33591	 2437
  34075	 2455
  34719	 2487
  35617	 2488
  37968	 2499
  45530	 2502
  76631	 2509
  80059	 2539
 132956	 2545
 134203	 2547
 189869	 2576
 208343	 2578
 321812	 2603
 423266	 2604
 528635	 2605
 534941	 2612
 543349	 2614
 637969	 2621
 682944	 2623
 756540	 2632
 904992	 2633
 908367	 2638
1118067	 2642
1181136	 2643
After 1581136 iterations the best profit is = 2643
Pass 9 finished in 10 seconds
The correlation with benchmark = 28
===================================
Pass 10 started
Initial state profit = 1015
    134	 1045
    164	 1129
    178	 1180
    221	 1191
    323	 1275
    369	 1345
    456	 1400
    461	 1563
    827	 1564
    940	 1605
    992	 1635
   1052	 1638
   1078	 1683
   1107	 1711
   1395	 1714
   1428	 1814
   1442	 1881
   2261	 1882
   2433	 1912
   3016	 1956
   3121	 2027
   5376	 2052
   5479	 2114
   6155	 2146
   8392	 2164
   9039	 2168
  10281	 2223
  11191	 2252
  11326	 2257
  11650	 2311
  14761	 2363
  16910	 2365
  17481	 2405
  20396	 2413
  21286	 2423
  65149	 2431
  88196	 2438
  91228	 2441
 103273	 2503
 124822	 2511
 126544	 2515
 131279	 2516
 132021	 2526
 135987	 2537
 151667	 2553
 161808	 2563
 185378	 2570
 185928	 2594
 246351	 2596
 336386	 2607
 487829	 2632
 559612	 2636
 630293	 2643
After 1030293 iterations the best profit is = 2643
Pass 10 finished in 6 seconds
The correlation with benchmark = 28
===================================
Pass 11 started
Initial state profit = 1116
     63	 1194
     66	 1244
    301	 1276
    306	 1368
    358	 1408
    445	 1424
   1230	 1434
   1329	 1613
   1486	 1633
   1513	 1656
   1722	 1660
   2806	 1665
   3238	 1794
   3441	 1827
   5396	 1832
   5690	 1842
   5919	 1882
   6304	 1988
   6502	 2015
   6949	 2018
  10081	 2088
  10248	 2099
  11139	 2136
  12668	 2142
  12791	 2158
  13607	 2202
  13930	 2207
  14383	 2248
  16585	 2263
  16726	 2266
  16874	 2267
  16912	 2273
  17676	 2275
  19211	 2295
  19434	 2296
  20321	 2361
  24807	 2375
  26735	 2416
  35397	 2419
  40818	 2426
  43684	 2445
  58742	 2449
  64787	 2451
 135595	 2467
 136451	 2479
 138495	 2488
 138916	 2518
 158999	 2564
 165850	 2580
 179404	 2582
 292515	 2592
 292775	 2593
 401799	 2595
 446145	 2597
 479371	 2599
 527722	 2600
 528067	 2611
